stratum,class_name,gt_count,lidar_point_median,ap_0.5m,ap_1m,ap_2m,ap_4m,lca0_ap
sparse (<= class median),police_officer,36,16.5,6.886178117009203e-06,6.886178117009203e-06,1.6911728385808504e-05,7.04968437146674e-05,2.5295232083623577e-05
sparse (<= class median),construction_worker,510,6.0,0.32827276389645677,0.37794365730251556,0.4243925489299508,0.506675973795411,0.4093212359810835
sparse (<= class median),stroller,47,5.0,0.25028761831745283,0.32291477566952476,0.3435111332023109,0.3920094640131099,0.3271807478005996
sparse (<= class median),personal_mobility,13,2.0,0.30014318360687675,0.34227166064369186,0.3885489222646092,0.619930836940837,0.4127236508640037
sparse (<= class median),pushable_pullable,1417,9.0,0.2293740561547227,0.3117206215098934,0.33551531320755573,0.34732592017334996,0.3059839777613804
sparse (<= class median),debris,156,11.0,0.05708039437281141,0.05717456697136798,0.058148209913472436,0.058360310800283165,0.05769087051448375
sparse (<= class median),traffic_cone,5684,3.0,0.5950999492371308,0.6340748536459138,0.6826484198247991,0.7589670556862136,0.6676975695985143
sparse (<= class median),barrier,8007,19.0,0.38529138515271577,0.5055253685535972,0.5757693432506108,0.643568385421989,0.5275386205947282
dense (> class median),car,26432,13.0,0.9310021627412661,0.9675176478523743,0.9712879814142272,0.9754534529761504,0.9613153112460046
dense (> class median),truck,4604,36.0,0.5705527963976702,0.7652841379293919,0.8456063677447009,0.8627573773756763,0.7610501698618598
dense (> class median),trailer,1159,51.0,0.3533636437769526,0.6014260569751493,0.7700639775163262,0.8511214125543934,0.6439937727057053
dense (> class median),bus,1030,70.0,0.6736908538413292,0.8924373576961061,0.964100325973101,0.9778020779548666,0.8770076538663507
dense (> class median),construction_vehicle,741,25.0,0.13950359426009526,0.3829397169440549,0.5738993953927547,0.7433829447280655,0.4599314128312426
dense (> class median),bicycle,837,6.0,0.8477385178477611,0.8874917398604074,0.8981891497835417,0.9019411008019942,0.8838401270734262
dense (> class median),motorcycle,883,7.0,0.9051849211001566,0.962001767265904,0.9675294346793958,0.9698527875159481,0.9511422276403511
dense (> class median),emergency_vehicle,38,44.0,0.5123847605086238,0.5123847605086238,0.5123847605086238,0.5123847605086238,0.5123847605086238
dense (> class median),adult,9870,6.0,0.9107552919364005,0.9289885477560839,0.9413459421101732,0.9487284798859709,0.9324545654221571
dense (> class median),child,66,4.0,0.3781927749477401,0.434448217714724,0.4441758897551018,0.5004838967589545,0.4393251947941301
dense (> class median),police_officer,36,16.5,0.3192996218647868,0.3192996218647868,0.3192996218647868,0.31935998373528407,0.3193147123324111
dense (> class median),construction_worker,455,6.0,0.6515793004475257,0.6859595160209159,0.699909343957134,0.7436799101984594,0.6952820176560087
dense (> class median),stroller,30,5.0,0.4431335144025489,0.523258926065541,0.546075627025923,0.6241427287834143,0.5341526990693568
dense (> class median),personal_mobility,2,2.0,0.4900003934684241,0.49000039359231706,0.9900007874015748,0.9900007877427233,0.7400005905512599
dense (> class median),pushable_pullable,1306,9.0,0.5657523667257714,0.665366896778051,0.6847427679146592,0.6945618473220325,0.6526059696851285
dense (> class median),debris,149,11.0,0.0749210237811715,0.07506721116135827,0.07515535202716574,0.07755334290480122,0.07567423246862418
dense (> class median),traffic_cone,4886,3.0,0.8289792525545812,0.8545961760438476,0.8792483468710011,0.9050674886768101,0.86697281603656
dense (> class median),barrier,7896,19.0,0.737124217346876,0.795422451551581,0.8226914437056883,0.8388837780422687,0.7985304726616036
